  40     89
   1      4   10.08
   1     16   16.30
   1     20   6.43
   1     24   14.78
   1     28   18.00
   1     30   9.58
   1     37   18.38
   2     13   17.43
   2     25   16.65
   2     35   12.68
   3      7   19.65
   3      8   16.03
   3     17   15.38
   3     27   16.99
   4      6   16.60
   4     20   15.31
   4     24   11.78
   4     28   16.72
   4     30   1.59
   5     18   4.29
   5     29   11.73
   5     34   17.00
   5     40   5.15
   6     30   16.68
   6     36   10.25
   7     12   11.29
   7     14   10.04
   7     27   16.87
   7     33   10.14
   8     12   11.89
   8     14   18.20
   8     17   16.14
   8     27   4.08
   8     38   15.60
   9     15   7.49
   9     16   19.13
   9     17   12.02
   9     38   9.04
   9     39   8.22
  10     23   13.26
  10     32   19.78
  11     14   18.22
  11     25   14.91
  11     33   14.99
  12     14   6.31
  12     27   7.82
  12     33   9.55
  13     35   16.30
  14     25   19.50
  14     27   14.12
  14     33   3.30
  15     17   10.87
  15     32   19.20
  15     38   15.03
  15     39   15.46
  16     20   10.46
  16     39   16.12
  17     27   19.88
  17     38   11.98
  17     39   18.93
  18     19   18.42
  18     29   15.60
  18     34   14.47
  18     40   9.39
  19     21   19.35
  19     31   6.26
  19     34   7.16
  20     30   14.34
  20     37   19.89
  21     31   19.07
  21     36   12.05
  22     24   9.38
  22     26   13.82
  22     28   4.34
  22     37   19.76
  23     32   13.18
  24     26   12.31
  24     28   5.06
  24     30   13.21
  25     33   17.89
  26     28   12.66
  27     33   17.37
  27     38   19.53
  28     30   18.09
  28     37   19.51
  29     40   8.58
  31     34   13.34
  31     35   19.33
  38     39   9.96
